employee_id,satisfaction_level,last_evaluation_score,number_of_projects,average_monthly_hours,years_spent_at_company,work_accident,left_company,promotion_in_last_5years,department,salary,salary_range
1,0.38,0.53,2,157,3,0,1,0,sales,low,"Less than $45,000"
2,0.8,0.86,5,262,6,0,1,0,sales,medium,"$45,000 - $74,999"
3,0.11,0.88,7,272,4,0,1,0,sales,medium,"$45,000 - $74,999"
4,0.72,0.87,5,223,5,0,1,0,sales,low,"Less than $45,000"
5,0.37,0.52,2,159,3,0,1,0,sales,low,"Less than $45,000"
6,0.41,0.5,2,153,3,0,1,0,sales,low,"Less than $45,000"
7,0.1,0.77,6,247,4,0,1,0,sales,low,"Less than $45,000"
8,0.92,0.85,5,259,5,0,1,0,sales,low,"Less than $45,000"
9,0.89,1,5,224,5,0,1,0,sales,low,"Less than $45,000"
10,0.42,0.53,2,142,3,0,1,0,sales,low,"Less than $45,000"
11,0.45,0.54,2,135,3,0,1,0,sales,low,"Less than $45,000"
12,0.11,0.81,6,305,4,0,1,0,sales,low,"Less than $45,000"
13,0.84,0.92,4,234,5,0,1,0,sales,low,"Less than $45,000"
14,0.41,0.55,2,148,3,0,1,0,sales,low,"Less than $45,000"
15,0.36,0.56,2,137,3,0,1,0,sales,low,"Less than $45,000"
16,0.38,0.54,2,143,3,0,1,0,sales,low,"Less than $45,000"
17,0.45,0.47,2,160,3,0,1,0,sales,low,"Less than $45,000"
18,0.78,0.99,4,255,6,0,1,0,sales,low,"Less than $45,000"
19,0.45,0.51,2,160,3,1,1,1,sales,low,"Less than $45,000"
20,0.76,0.89,5,262,5,0,1,0,sales,low,"Less than $45,000"
21,0.11,0.83,6,282,4,0,1,0,sales,low,"Less than $45,000"
22,0.38,0.55,2,147,3,0,1,0,sales,low,"Less than $45,000"
23,0.09,0.95,6,304,4,0,1,0,sales,low,"Less than $45,000"
24,0.46,0.57,2,139,3,0,1,0,sales,low,"Less than $45,000"
25,0.4,0.53,2,158,3,0,1,0,sales,low,"Less than $45,000"
26,0.89,0.92,5,242,5,0,1,0,sales,low,"Less than $45,000"
27,0.82,0.87,4,239,5,0,1,0,sales,low,"Less than $45,000"
28,0.4,0.49,2,135,3,0,1,0,sales,low,"Less than $45,000"
29,0.41,0.46,2,128,3,0,1,0,accounting,low,"Less than $45,000"
